Date,Time (UTC),Type,Symbol,Specification,Liquidity Indicator,Trading Fee Rate (bps),USD Amount USD,Fee (USD) USD,USD Balance USD,BTC Amount BTC,Fee (BTC) BTC,BTC Balance BTC,ETH Amount ETH,Fee (ETH) ETH,ETH Balance ETH,LTC Amount LTC,Fee (LTC) LTC,LTC Balance LTC,DOGE Amount DOGE,Fee (DOGE) DOGE,DOGE Balance DOGE,USDC Amount USDC,Fee (USDC) USDC,USDC Balance USDC,XRP Amount XRP,Fee (XRP) XRP,XRP Balance XRP,FET Amount FET,Fee (FET) FET,FET Balance FET,SHIB Amount SHIB,Fee (SHIB) SHIB,SHIB Balance SHIB,LRC Amount LRC,Fee (LRC) LRC,LRC Balance LRC,SUSHI Amount SUSHI,Fee (SUSHI) SUSHI,SUSHI Balance SUSHI,BONK Amount BONK,Fee (BONK) BONK,BONK Balance BONK,FTM Amount FTM,Fee (FTM) FTM,FTM Balance FTM,RNDR Amount RNDR,Fee (RNDR) RNDR,RNDR Balance RNDR,ALI Amount ALI,Fee (ALI) ALI,ALI Balance ALI,PEPE Amount PEPE,Fee (PEPE) PEPE,PEPE Balance PEPE,Trade ID,Order ID,Order Date,Order Time,Client Order ID,API Session,Tx Hash,Deposit Destination,Deposit Tx Output,Withdrawal Destination,Withdrawal Tx Output
2025-01-12,21:16:06.001,Sell,DOGEUSD,StopLimit,Taker,29.99998 ,$10.36 ,($0.03),"$4,755.24 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,(30.784157 DOGE),,0.0 DOGE ,,,0.0 USDC ,,,"1,481.4815 XRP ",,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,"20,000,000.0 BONK ",,,0.0 FTM ,,,75.0 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885453843,73771238317289006,2025-01-12,17:53:53.049,,web,,,,,
2025-01-12,22:06:34.604,Sell,RNDRUSD,StopLimit,Taker,30.00 ,$18.82 ,($0.06),"$4,774.01 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,"1,481.4815 XRP ",,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,"20,000,000.0 BONK ",,,0.0 FTM ,(2.658809 RNDR),,72.341191 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885458096,73771238317691847,2025-01-12,18:02:09.790,,web,,,,,
2025-01-12,22:06:34.604,Sell,RNDRUSD,StopLimit,Taker,30.00 ,$183.39 ,($0.55),"$4,956.85 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,"1,481.4815 XRP ",,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,"20,000,000.0 BONK ",,,0.0 FTM ,(25.89463 RNDR),,46.446561 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885458095,73771238317691847,2025-01-12,18:02:09.790,,web,,,,,
2025-01-12,22:06:34.604,Sell,RNDRUSD,StopLimit,Taker,30.00 ,$153.56 ,($0.46),"$5,109.94 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,"1,481.4815 XRP ",,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,"20,000,000.0 BONK ",,,0.0 FTM ,(21.643122 RNDR),,24.803439 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885458094,73771238317691847,2025-01-12,18:02:09.790,,web,,,,,
2025-01-12,22:06:34.604,Sell,RNDRUSD,StopLimit,Taker,30.00 ,$97.86 ,($0.29),"$5,207.51 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,"1,481.4815 XRP ",,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,"20,000,000.0 BONK ",,,0.0 FTM ,(13.783232 RNDR),,11.020207 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885458093,73771238317691847,2025-01-12,18:02:09.790,,web,,,,,
2025-01-12,22:06:34.604,Sell,RNDRUSD,StopLimit,Taker,29.99999 ,$78.36 ,($0.24),"$5,285.63 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,"1,481.4815 XRP ",,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,"20,000,000.0 BONK ",,,0.0 FTM ,(11.011387 RNDR),,0.00882 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885458092,73771238317691847,2025-01-12,18:02:09.790,,web,,,,,
2025-01-12,22:06:34.604,Sell,RNDRUSD,StopLimit,Taker,29.98905 ,$0.06 ,($0.00),"$5,285.70 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,"1,481.4815 XRP ",,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,"20,000,000.0 BONK ",,,0.0 FTM ,(0.00882 RNDR),,0.0 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885458091,73771238317691847,2025-01-12,18:02:09.790,,web,,,,,
2025-01-12,22:10:29.955,Sell,BONKUSD,StopLimit,Taker,30.00 ,$33.76 ,($0.10),"$5,319.36 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,"1,481.4815 XRP ",,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,"(1,239,486.444681 BONK)",,"18,760,513.555319 BONK ",,,0.0 FTM ,,,0.0 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885459287,73771238317536305,2025-01-12,17:59:30.438,,web,,,,,
2025-01-12,22:10:29.955,Sell,BONKUSD,StopLimit,Taker,30.00 ,$410.00 ,($1.23),"$5,728.12 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,"1,481.4815 XRP ",,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,"(15,059,088.848246 BONK)",,"3,701,424.707073 BONK ",,,0.0 FTM ,,,0.0 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885459288,73771238317536305,2025-01-12,17:59:30.438,,web,,,,,
2025-01-12,22:10:29.955,Sell,BONKUSD,StopLimit,Taker,30.00 ,$21.33 ,($0.06),"$5,749.39 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,"1,481.4815 XRP ",,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,"(782,454.378635 BONK)",,"2,918,970.328438 BONK ",,,0.0 FTM ,,,0.0 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885459284,73771238317536305,2025-01-12,17:59:30.438,,web,,,,,
2025-01-12,22:10:29.955,Sell,BONKUSD,StopLimit,Taker,30.00 ,$78.95 ,($0.24),"$5,828.11 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,"1,481.4815 XRP ",,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,"(2,895,790.449993 BONK)",,"23,179.878445 BONK ",,,0.0 FTM ,,,0.0 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885459285,73771238317536305,2025-01-12,17:59:30.438,,web,,,,,
2025-01-12,22:10:29.955,Sell,BONKUSD,StopLimit,Taker,29.99999 ,$0.63 ,($0.00),"$5,828.74 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,"1,481.4815 XRP ",,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,"(23,179.878445 BONK)",,0.0 BONK ,,,0.0 FTM ,,,0.0 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885459286,73771238317536305,2025-01-12,17:59:30.438,,web,,,,,
2025-01-12,22:40:41.102,Buy,XRPUSD,Limit,Maker,10.00 ,"($1,000.00)",($1.00),"$4,827.74 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,400.801603 XRP ,,"1,882.283103 XRP ",,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,0.0 BONK ,,,0.0 FTM ,,,0.0 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885463615,73771238329926435,2025-01-12,22:32:03.519,3970cd67-1fee-4e90-87c5-e35c585d0170,web,,,,,
2025-01-13,00:44:02.493,Buy,RNDRUSD,Limit,Taker,30.00 ,($72.09),($0.22),"$4,755.43 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,"1,882.283103 XRP ",,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,0.0 BONK ,,,0.0 FTM ,9.928037 RNDR ,,9.928037 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885482214,73771238338507512,2025-01-13,00:44:02.493,b0ae40e9-f60e-42db-b07d-486ad7f54ea2,web,,,,,
2025-01-13,00:45:08.060,Buy,RNDRUSD,Limit,Taker,29.99999 ,($26.85),($0.08),"$4,728.50 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,"1,882.283103 XRP ",,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,0.0 BONK ,,,0.0 FTM ,3.697853 RNDR ,,13.62589 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885482535,73771238338659810,2025-01-13,00:45:08.060,bb838aec-297e-4a2e-9c09-e0e7a2bca56e,web,,,,,
2025-01-13,00:45:51.781,Buy,RNDRUSD,Limit,Taker,30.00 ,($917.91),($2.75),"$3,807.84 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,"1,882.283103 XRP ",,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,0.0 BONK ,,,0.0 FTM ,126.381109 RNDR ,,140.006999 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885482690,73771238338759530,2025-01-13,00:45:51.781,ddd5a803-ae42-4652-8de9-f28d5727f6b0,web,,,,,
2025-01-13,03:14:06.567,Buy,RNDRUSD,Limit,Taker,30.00 ,($499.79),($1.50),"$3,306.56 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,"1,882.283103 XRP ",,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,0.0 BONK ,,,0.0 FTM ,71.571714 RNDR ,,211.578713 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140885508190,73771238350089904,2025-01-13,03:14:06.567,,web,,,,,
2025-01-13,04:21:22.557,Buy,PEPEUSD,Limit,Maker,10.00 ,($129.69),($0.13),"$3,176.73 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,"1,882.283103 XRP ",,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,0.0 BONK ,,,0.0 FTM ,,,211.578713 RNDR ,,,0.0 ALI ,"7,460,100.0 PEPE ",,"7,460,100.0 PEPE ",2840140885515648,73771238354389579,2025-01-13,04:21:22.510,e6cf7fe7-fe0c-495d-ad91-3fda44e65319,web,,,,,
2025-01-13,04:21:22.557,Buy,PEPEUSD,Limit,Maker,10.00 ,($985.31),($0.99),"$2,190.44 ",,,0.00000686 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,"1,882.283103 XRP ",,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,0.0 BONK ,,,0.0 FTM ,,,211.578713 RNDR ,,,0.0 ALI ,"56,675,600.0 PEPE ",,"64,135,700.0 PEPE ",2840140885515650,73771238354389579,2025-01-13,04:21:22.510,e6cf7fe7-fe0c-495d-ad91-3fda44e65319,web,,,,,
